transaction_id,amount,hour,merchant_category,device_change,geo_distance_km,velocity_per_hour,is_new_merchant,label,fraud_pattern
2c71d658-9f48-4de1-8810-b5d1eb12ace0,205.06,13,fuel,0,6.53,1,0,0,normal
db1f5a07-6014-47e6-9f45-d885582e5dfd,1308.22,13,clothing,0,6.3,1,1,0,normal
e3a19792-4b49-4a21-8a4d-83e416a4dc94,64.51,3,grocery,0,4.65,1,0,0,normal
04b6d305-45eb-437e-b8e7-7997450e1ef4,2444.69,0,clothing,1,16.02,1,0,0,normal
ebc0aee9-1873-45e5-a4cb-f6e48bd73e54,181.18,7,electronics,0,9.12,2,0,0,normal
aa5edf95-c64d-405c-8acd-1e596d9c15bf,210.99,19,fuel,0,1.46,2,0,0,normal
27b9f6c0-b589-492f-a40d-8bbc8cf9ccef,503.9,23,entertainment,0,1.61,1,0,0,normal
bf5db298-2bb0-4197-b4f3-172ade52281a,100.98,12,transport,0,1.33,2,0,0,normal
35c9bed3-afd2-47d9-98b4-4ee3114c2f90,643.83,21,fuel,0,1.6,2,0,0,normal
8844d51c-91b3-4108-ae93-1c52aa8442da,352.47,19,fuel,0,2.96,2,0,0,normal
1e16c5ba-bf3b-45db-a3d1-0437a78559a3,120.14,8,transport,0,3.18,1,0,0,normal
e9eff4ea-1e77-4760-96ba-5153012a9619,1243.86,16,fuel,0,3.47,1,0,0,normal
d3ae167d-ff6e-44b4-92bc-4fd05c2878f1,97.46,8,electronics,0,6.93,1,0,0,normal
18e1bcd5-45cc-4ddd-b230-6f0e4d17fe04,74.65,19,clothing,0,0.72,1,0,0,normal
f0882c63-ab92-4606-85a8-942e8eb8bd0a,65.75,18,restaurant,0,3.71,1,0,0,normal
66428fb1-852b-4cf1-b8e8-f1ab9a19a37b,1715.23,22,education,0,1.95,1,0,0,normal
74a049eb-bc53-4b90-857c-e5c2a886caf6,139.18,14,grocery,0,2.89,1,0,0,normal
adbec518-c93f-4595-81ff-8ec1aa4f4632,35553.53,12,entertainment,1,505.84,2,0,1,device_geo_jump
25ab8fc0-349a-459b-bc99-a49a692e7b3f,208.65,14,transport,0,4.08,1,0,0,normal
2b6316f4-972b-45b3-b469-9f85fa304071,179.01,19,restaurant,1,6.09,1,0,0,normal
0407c500-5044-43f2-b05c-f6faa459941d,1958.92,2,restaurant,0,16.99,8,0,1,velocity_attack
d5fde8b6-334d-4b2c-8be2-6c865a1ba2b7,66.5,21,education,0,2.56,1,0,0,normal
63e9f3bd-857d-46fe-97fa-ce110e795d6c,264.51,0,education,0,3.92,2,0,0,normal
aaf9e8b0-c32b-4a7e-93a1-66f0a3005754,16645.22,16,utilities,1,27.58,1,1,1,social_engineering
f2bd483b-0be2-4860-8f04-a6318f1a1a66,159.47,23,utilities,0,1.16,2,0,0,normal
3e9f64ce-10bb-4843-b411-8b9936205577,71406.04,3,utilities,1,491.47,1,1,1,late_night_high
a658a8d5-dfaa-4705-8946-b3356d81677a,249.5,19,transport,0,1.76,1,0,0,normal
897ccac6-57cb-42f2-a486-e2a18024adbc,86.2,12,pharmacy,0,0.7,1,0,0,normal
e8adf7ba-2d3c-4056-8dbc-ac61a94a30d9,587.69,14,transport,0,3.94,1,0,0,normal
2a75d629-05b8-4ef7-ad9c-633f2847b672,1500.37,10,restaurant,0,3.64,2,0,0,normal
df9b0f04-329a-476b-a559-1d47ba5cab13,1001.59,19,clothing,0,14.49,1,0,0,normal
77658190-e9db-4006-9a12-3e4db291545b,295.0,12,pharmacy,0,0.29,1,0,0,normal
8b8ffb20-4828-4a70-9810-5331f773b1d8,2158.77,10,fuel,0,14.67,4,0,0,normal
3eeb2fa8-2de3-45cf-814e-57f8a77fcff1,2189.96,19,entertainment,0,8.41,1,0,0,normal
545f54c8-935f-4ff6-8324-cbdbb0f036a1,252.0,1,electronics,0,3.32,1,0,0,normal
49c6fc84-2bcf-4f98-8b6a-f41284fd110c,200.73,19,clothing,0,0.34,1,0,0,normal
cafcf66f-9f0a-46c7-85c5-9d41a0a4cf15,99.26,9,grocery,0,0.24,1,0,0,normal
f1bb5f15-598f-4316-b365-a831762648e4,1298.57,8,restaurant,0,0.68,4,0,0,normal
86c00570-7a89-4cf7-9cc8-c50c4ffd8ade,598.8,12,transport,0,9.86,1,1,0,normal
4bb658e8-d69f-4093-983c-0189782ed3db,590.93,16,pharmacy,0,0.05,1,0,0,normal
52d007c8-81bb-4e73-9485-9b474e42e24e,131.46,12,restaurant,0,8.63,2,0,0,normal
e311fe17-9e09-4707-b88c-fb6dff77c4ce,176.33,18,restaurant,0,6.9,1,1,0,normal
9c61236f-f7d5-42d1-8fd9-459c465126d4,175.96,16,electronics,0,1.2,1,0,0,normal
4543fe2f-8d75-42be-bb3b-f3971a3ce25c,36.31,18,education,0,9.91,2,0,0,normal
f03c573e-bb47-47d7-a2ca-3c3b3d7a96fe,25137.3,18,fuel,1,932.47,3,1,1,device_geo_jump
8ffebba1-554f-49ff-a24f-7ef16dc6a316,366.52,11,electronics,0,12.49,2,0,0,normal
08e0ab28-5cd1-4a42-97cf-52f3f7adf383,266.41,15,fuel,0,3.35,1,0,0,normal
8f67a269-dce9-4b14-886f-6b3f260c5ed7,292.0,13,education,0,10.6,1,0,0,normal
977fc7a7-0772-4911-a722-1a2dbafd4e99,403.76,16,transport,0,13.68,1,1,0,normal
887fd2ff-f2f4-4498-b13e-e49e0e0068f5,466.8,14,entertainment,1,6.26,4,0,0,normal
ec24a215-782e-4176-982e-cae00c7015a7,59.79,11,education,0,3.33,1,0,0,normal
d48714fd-a35c-4b7e-82a8-e08e7a336f76,89.27,15,clothing,0,2.36,1,0,0,normal
d171bc56-43d3-45d2-aed2-01b6f2696e70,327.46,16,utilities,0,9.7,1,0,0,normal
c5eb5c4d-1f3e-4ada-aa8b-78c9b4fb9918,526.44,21,restaurant,0,5.13,1,0,0,normal
4631c91b-e204-43ee-b361-1d65afa81d3e,106.31,15,pharmacy,0,0.33,2,0,0,normal
